Cross Number	Matalpha parent	Mata parent	Tetrad	Spore	Spore fitness in 21 C	replicate deviation	Parent 1 fitness, 21 C	Parent 1 replicate deviation	Parent 2 fitness, 21 C	Parent 2 replicate deviation
mat1	anc	N17	tet1	clone1	-0.0367845434148	0.00504594089088	-0.0140737818804	0.0155783776469	-0.461587787955	0.035611851672
mat1	anc	N17	tet1	clone2	-0.0615388679637	0.00932393677341	-0.0140737818804	0.0155783776469	-0.461587787955	0.035611851672
mat1	anc	N17	tet1	clone3	-0.0748504305189	0.00957648351098	-0.0140737818804	0.0155783776469	-0.461587787955	0.035611851672
mat1	anc	N17	tet1	clone4	-0.0307261235508	0.0168126779956	-0.0140737818804	0.0155783776469	-0.461587787955	0.035611851672
mat1	anc	N17	tet2	clone1	-0.0507402128706	0.00752041359589	-0.0140737818804	0.0155783776469	-0.461587787955	0.035611851672
mat1	anc	N17	tet2	clone2	-0.0128688607794	0.00158430369018	-0.0140737818804	0.0155783776469	-0.461587787955	0.035611851672
mat1	anc	N17	tet2	clone3	-0.0712175381681	0.00950326923079	-0.0140737818804	0.0155783776469	-0.461587787955	0.035611851672
mat1	anc	N17	tet2	clone4	-0.0300701703763	0.0133583523719	-0.0140737818804	0.0155783776469	-0.461587787955	0.035611851672
mat1	anc	N17	tet3	clone1	-0.0119957686665	0.00596283089323	-0.0140737818804	0.0155783776469	-0.461587787955	0.035611851672
mat1	anc	N17	tet3	clone2	-0.0229898424115	0.0113524088598	-0.0140737818804	0.0155783776469	-0.461587787955	0.035611851672
mat1	anc	N17	tet3	clone3	-0.106415967356	0.016839783705	-0.0140737818804	0.0155783776469	-0.461587787955	0.035611851672
mat1	anc	N17	tet3	clone4	-0.0445592832568	0.0262918402268	-0.0140737818804	0.0155783776469	-0.461587787955	0.035611851672
mat1	anc	N17	tet4	clone1	-0.0633646203212	0.0173211560805	-0.0140737818804	0.0155783776469	-0.461587787955	0.035611851672
mat1	anc	N17	tet4	clone2	-0.0303806704694	0.00950542278064	-0.0140737818804	0.0155783776469	-0.461587787955	0.035611851672
mat1	anc	N17	tet4	clone3	-0.0828744568869	0.00272831416941	-0.0140737818804	0.0155783776469	-0.461587787955	0.035611851672
mat1	anc	N17	tet4	clone4	-0.0536420133754	0.00869787841668	-0.0140737818804	0.0155783776469	-0.461587787955	0.035611851672
mat11	anc	N17-rho0	tet1	clone1	0.00761445266297	0.0157427817668	-0.0140737818804	0.0155783776469	-0.461587787955	0.035611851672
mat11	anc	N17-rho0	tet1	clone2	-0.370269176516	0.0303798402472	-0.0140737818804	0.0155783776469	-0.461587787955	0.035611851672
mat11	anc	N17-rho0	tet1	clone3	-0.0427986780335	0.0141817643675	-0.0140737818804	0.0155783776469	-0.461587787955	0.035611851672
mat11	anc	N17-rho0	tet1	clone4	0.000494720890311	0.0155141410888	-0.0140737818804	0.0155783776469	-0.461587787955	0.035611851672
