Evolution environment	Clone number	Fitness at 21 C vs. original reference	Fitness at 21 C vs. cured reference
Evolved in SC	clone1	-0.04287380725	0.270380717068
Evolved in SC	clone10	-0.0201725463483	0.330655971448
Evolved in SC	clone11	-0.0658281412976	-0.043487298795
Evolved in SC	clone12	-0.0286163795326	0.207637757257
Evolved in SC	clone13	-0.218351379604	-0.0600921734155
Evolved in SC	clone14	-0.0519154063054	-0.0356138443722
Evolved in SC	clone15	-0.0155616762322	-0.0290452847732
Evolved in SC	clone16	-0.012867764396	-0.0335503280243
Evolved in SC	clone17	-0.285093349782	-0.0482354564621
Evolved in SC	clone18	-0.0135204749494	-0.0347318996867
Evolved in SC	clone19	-0.0211642418956	-0.0340264249829
Evolved in SC	clone2	-0.0298060106511	-0.0494529748735
Evolved in SC	clone20	-0.231114381955	-0.029491360592
Evolved in SC	clone3	-0.020094872095	0.33068288854
Evolved in SC	clone4	-0.265222406333	-0.0512373982933
Evolved in SC	clone5	-0.0260605363811	0.333580155184
Evolved in SC	clone6	-0.311310212362	-0.0339003898481
Evolved in SC	clone8	-0.0287187021561	-0.0373647190589
Evolved in SC	clone9	-0.0308393685389	-0.0457524568841
Evolved in gal	clone1	-0.0314571927496	0.213997015755
Evolved in gal	clone10	-0.0300662672709	0.276260062818
Evolved in gal	clone11	-0.0336856348071	-0.050580419027
Evolved in gal	clone12	0.0107207024186	-0.0459337067597
Evolved in gal	clone13	-0.0322669026129	0.130851228106
Evolved in gal	clone14	-0.0516809129293	-0.0643694215945
Evolved in gal	clone15	-0.0399380587729	-0.0487462502165
Evolved in gal	clone17	-0.0288084108676	-0.060783087988
Evolved in gal	clone18	-0.0233525448422	-0.0388937467782
Evolved in gal	clone19	-0.0652764913044	-0.0456722773149
Evolved in gal	clone2	-0.0344816190801	0.114420694488
Evolved in gal	clone20	-0.0654050366861	-0.0348554377002
Evolved in gal	clone3	-0.0450565017538	-0.0527373583226
Evolved in gal	clone4	-0.0533407202371	0.146591152763
Evolved in gal	clone5	-0.142859647234	-0.136447303851
Evolved in gal	clone6	-0.0149169633668	0.12852566353
Evolved in gal	clone7	-0.0445080702576	-0.0701344082306
Evolved in gal	clone8	-0.0559665861079	-0.0389921845105
Evolved in gal	clone9	-0.286303502694	-0.0373699368481
Evolved in 21 C	clone1	-0.0365317810708	-0.0637138009923
Evolved in 21 C	clone10	-0.324990293395	-0.0530704317464
Evolved in 21 C	clone11	-0.0234110649019	0.200186561262
Evolved in 21 C	clone12	-0.0204226514293	-0.0124981176769
Evolved in 21 C	clone13	0.00323149523009	0.0523244170946
Evolved in 21 C	clone14	0.00457164279662	0.344462192003
Evolved in 21 C	clone16	-0.0381504905388	-0.0598753014607
Evolved in 21 C	clone17	-0.00821061624782	-0.0291984006149
