Model	SC	Gal	Low temp	High temp	Low glu	pH 3	pH 7.3	High salt
Evolution env.	0.35828538976702606	0.3755837576854607	0.20715033150978746	0.4865411161419386	0.5075709991068007	0.2703316059536257	0.2522669936266102	0.2336721962974544
Evolution env. + Virus	0.6991893708137233	0.7619217062090866	0.8109452100957879	0.48874643324086775	0.5084848228449386	0.28568926526834315	0.3109021138348942	0.37653751007226777
Virus (additional)	0.3409039810466973	0.3863379485236259	0.6037948785860004	0.002205317098929127	0.0009138237381378644	0.015357659314717442	0.058635120208283986	0.14286531377481337
All stochasticity	0.6353801179435822	0.6188308703245496	0.7687783712126155	0.5066191173993151	0.48833633521216835	0.7065824056384518	0.7133234741251377	0.7514089374478933
Other pleiotropy	0.29447613689688484	0.23249292180092374	0.16498349262661502	0.504413800300386	0.4874225114740305	0.6912247463237343	0.6546883539168538	0.6085436236730799
Measurement err.	0.006334492289391804	0.005585371989989649	0.024071297277597076	0.006839766458746269	0.004092665681030943	0.023085988407922527	0.03440953224825202	0.014918866254652325
Genes	0.26618734774596486	0.2004020627199783	0.11080970007767887	0.22482998099334273	0.16967625754274285	0.11334197338080143	0.1673261610267054	0.30249902862963063
Genes + Hap/Dip	0.2672474930203109	0.20679965193993965	0.12211606636892978	0.29111378885046346	0.1971365590156554	0.1614374019983308	0.18100777510635224	0.30284682510322114
Genes + Hap/Dip + Virus	0.5944886298368777	0.622480465182237	0.7762444292399006	0.3209572269182609	0.225230717545161	0.17679079861213864	0.1932527256659471	0.44021969970833064
Genes + Hap/Dip + Virus + Evolution env.	0.7191597070773268	0.7876520814117445	0.8265091061998963	0.6071808931097447	0.5780529001809751	0.37567953284252276	0.3911735062501705	0.5013566450004416
Evolution env. above genetics	0.12467107724044912	0.1651716162295075	0.0502646769599957	0.28622366619148376	0.3528221826358141	0.1988887342303841	0.1979207805842234	0.061136945292111
Other pleiotropy	0.2745736700192072	0.20656166450029043	0.14966120666831287	0.38613783989227873	0.4174418238079583	0.6009808406816518	0.5733811329439944	0.48307347110668253
Measurement err.	0.00626662290346605	0.0057862540879650886	0.023829687131790872	0.0066812669979766075	0.004505276011066589	0.02333962647582544	0.035445360805835185	0.015569883892875853
