Evolution Environment	Clone	fitness in SC	replicate deviations SC	fitness in .8 M	replicate deviations .8 M	fitness in .4 M	replicate deviations .4 M	fitness in .2 M	replicate deviations .2 M	fitness in 21 C	replicate deviations 21 C	fitness in 34 C	replicate deviations 34 C	fitness in 37 C	replicate deviations 37 C	fitness in pH 3	replicate deviations pH 3	fitness in pH 3.8	replicate deviations pH 3.8	fitness in pH 6	replicate deviations pH 6	fitness in pH 7.3	replicate deviations pH 7.3	fitness in .07% glu	replicate deviations .07% glu	fitness in .4% glu	replicate deviations .4% glu	fitness in gal	replicate deviations gal	fitness in med eth	replicate deviations med eth	killer virus status	number of generations of evolution	Ploidy
Evolved in SC	clone1	0.0244	0.0016,-0.0007,-0.0009	-0.0858	-0.0025,0.0069,-0.0044	-0.0736	0.0,-0.0086,0.0085	-0.0749	-0.0037,0.0103,-0.0066	0.0108	0.0046,-0.0027,-0.0019	0.0116	-0.0009,-0.0006,0.0015	-0.0247	-0.0044,0.005,-0.0006	0.0054	0.0001,0.0007,-0.0008	-0.0051	-0.0012,0.0014,-0.0001	-0.0454	0.0057,-0.0016,-0.0041	-0.0065	0.0073,-0.0018,-0.0055	0.0355	-0.0046,-0.001,0.0056	0.0125	0.0013,0.0016,-0.0029	0.0264	0.0025,-0.0042,0.0017	0.0185	0.0029,0.0012,-0.0041	Virus retained	819	Haploid
Evolved in SC	clone2	-0.0043	0.0054,0.0014,-0.0068	0.0021	0.0043,-0.0029,-0.0014	-0.0017	-0.0014,-0.0024,0.0037	-0.0027	0.0017,-0.003,0.0013	-0.0047	0.0009,0.0012,-0.0021	0.0025	-0.0002,-0.0019,0.002	-0.0133	-0.0047,0.0067,-0.002	0.0003	0.0,-0.0033,0.0033	-0.0002	-0.0016,0.0017,-0.0001	-0.0065	-0.0003,-0.0005,0.0009	-0.0045	-0.0021,-0.0029,0.005	-0.0032	-0.0017,0.0022,-0.0005	-0.0027	-0.0008,-0.0003,0.0011	-0.0031	0.001,-0.0009,-0.0001	-0.0343	-0.0514,0.0287,0.0227	Virus retained	819	Haploid
Evolved in SC	clone3	0.0127	-0.0012,-0.0007,0.0019	-0.0169	-0.0023,-0.0021,0.0043	-0.0064	0.002,-0.0041,0.002	0.0034	0.0016,0.0006,-0.0022	0.0043	0.0096,-0.0066,-0.003	0.0122	0.0005,0.0013,-0.0018	0.0183	-0.0044,-0.0031,0.0075	0.0104	0.0035,-0.0032,-0.0003	0.0095	-0.0011,0.0016,-0.0005	0.0004	0.001,0.0003,-0.0014	-0.0151	-0.0063,0.0024,0.0039	0.011	-0.0002,0.0011,-0.0009	0.0079	0.0009,-0.0009,-0.0	0.0147	0.0014,0.001,-0.0024	0.0081	-0.0006,-0.0021,0.0027	Virus retained	819	Haploid
Evolved in SC	clone4	-0.0034	-0.0042,-0.0031,0.0072	-0.0416	0.0002,0.0059,-0.006	-0.0393	-0.0022,-0.0039,0.0061	-0.0312	0.0025,0.0041,-0.0066	-0.2625	0.0431,-0.0338,-0.0093	0.0083	0.0028,-0.0005,-0.0023	0.0185	0.0023,-0.0005,-0.0018	0.0114	-0.0006,0.0013,-0.0007	-0.1979	0.0038,0.0249,-0.0287	0.0054	0.0011,-0.001,-0.0001	-0.0061	0.0006,-0.0014,0.0008	0.0092	-0.002,-0.0013,0.0033	0.0072	-0.0017,-0.0011,0.0028	-0.0036	-0.0002,-0.0039,0.0041	-0.003	0.0096,-0.0067,-0.0029	Virus lost	819	Haploid
Evolved in SC	clone5	0.0216	0.0034,-0.0054,0.002	-0.0556	-0.0012,-0.0008,0.002	-0.0338	0.0025,-0.0072,0.0047	0.0035	-0.002,0.0042,-0.0021	0.0071	0.0003,0.0023,-0.0026	0.0152	-0.0023,-0.0006,0.0029	-0.0175	-0.0067,0.0048,0.0018	0.0179	0.0009,0.0004,-0.0013	0.0244	-0.0014,-0.0012,0.0026	-0.0056	-0.0032,0.0027,0.0005	-0.0389	0.0132,-0.009,-0.0042	0.0495	0.0012,-0.0017,0.0005	0.0198	-0.0007,0.0027,-0.002	0.0199	0.0033,-0.0031,-0.0002	0.0236	-0.0008,0.0044,-0.0036	Virus retained	819	Haploid
Evolved in SC	clone6	-0.0969	-0.0096,-0.0135,0.0231	-0.082	-0.0026,-0.0109,0.0135	-0.0788	-0.0022,0.003,-0.0008	-0.0666	0.0027,0.0061,-0.0088	-0.1697	-0.0078,-0.0577,0.0655	0.0161	0.0021,0.0034,-0.0055	0.024	-0.0047,0.004,0.0007	0.0182	0.0008,0.0006,-0.0014	-0.1664	-0.0082,0.0561,-0.0479	-0.0097	0.0048,-0.0006,-0.0042	0.0169	-0.0079,0.0063,0.0016	0.0083	0.0059,-0.0022,-0.0037	-0.0014	0.0015,0.0028,-0.0043	-0.1048	-0.0175,-0.0026,0.0201	-0.1849	-0.0032,0.0097,-0.0065	Virus lost	819	Haploid
Evolved in SC	clone8	0.0245	-0.0007,-0.0041,0.0048	-0.0213	-0.0056,0.0034,0.0023	0.0135	0.0013,0.0002,-0.0014	0.0218	0.0026,0.0021,-0.0046	0.0132	0.0004,0.0021,-0.0025	0.0167	0.0009,0.0029,-0.0038	0.0205	-0.0009,0.0023,-0.0014	0.0224	-0.0047,0.0025,0.0022	0.0117	0.003,-0.0025,-0.0005	-0.0189	0.0011,-0.002,0.0009	-0.01	-0.0024,0.0041,-0.0016	0.0311	0.0023,-0.0006,-0.0017	0.0234	-0.0039,0.0026,0.0013	0.001	-0.0004,-0.0068,0.0072	0.0335	0.0005,-0.0014,0.0008	Virus retained	819	Haploid
Evolved in SC	clone9	0.03	-0.0032,0.0025,0.0007	-0.0521	0.0073,-0.0175,0.0102	-0.0346	-0.0023,-0.0024,0.0047	-0.0017	0.0027,-0.0006,-0.002	0.0192	-0.0022,-0.0017,0.004	0.0137	0.004,-0.002,-0.0019	-0.0118	-0.0056,0.0057,-0.0001	0.0271	-0.0028,0.0001,0.0027	0.0233	-0.0032,0.0022,0.001	-0.0054	0.004,-0.0033,-0.0007	-0.0065	0.0057,-0.005,-0.0007	0.0429	0.0036,-0.0044,0.0008	0.0208	-0.0008,-0.001,0.0018	0.0297	-0.0044,0.0038,0.0006	0.0258	0.0023,-0.0031,0.0008	Virus retained	819	Haploid
Evolved in SC	clone10	0.0194	-0.0,0.001,-0.001	-0.0473	-0.0076,-0.0012,0.0087	-0.0044	0.0007,0.0034,-0.0041	0.0232	-0.0007,-0.001,0.0017	0.0102	0.0021,0.0005,-0.0026	0.0053	-0.001,0.0013,-0.0003	-0.0317	-0.0079,0.0102,-0.0023	0.0013	-0.0009,-0.0014,0.0023	0.0238	-0.0022,0.0004,0.0018	-0.0118	-0.0012,0.0018,-0.0006	-0.0404	0.0053,-0.0047,-0.0005	0.0418	0.0006,-0.0034,0.0028	0.0179	-0.0002,-0.0006,0.0007	0.0168	0.0016,0.0029,-0.0045	0.0175	-0.0013,0.0038,-0.0025	Virus retained	819	Haploid
Evolved in SC	clone11	0.0044	0.0022,-0.0038,0.0016	-0.0333	-0.0027,0.0021,0.0006	-0.0173	0.0002,-0.0004,0.0002	0.0052	0.0008,0.0008,-0.0016	0.0028	0.0028,-0.002,-0.0008	0.0079	-0.0033,0.0006,0.0028	0.0111	-0.0017,0.0011,0.0006	0.0085	-0.004,0.0001,0.0039	0.0126	-0.0013,0.0002,0.0011	-0.0257	0.0029,0.0005,-0.0034	-0.024	0.0067,-0.0068,0.0001	0.0074	-0.0031,0.0019,0.0012	0.0119	-0.0012,0.0012,0.0001	0.0143	-0.0028,0.0028,0.0001	0.0075	0.0044,-0.001,-0.0034	Virus retained	819	Haploid
