Mutated gene	Reconstruction code (KO=knockout intermediate)	Fitness in 21 C	Replicate deviations in 21 C	Fitness in 37 C	Replicate deviations in 37 C	Fitness in .8 M	Replicate deviations in .8 M	Fitness in SC	Replicate deviations in SC
CUE4	KO1	-0.0155460677775	0.00148330429854,-0.00451975743791,0.00303645313937	-0.049593733853	-0.000469556973838,-0.000744890286828,0.00121444726067	0.00763306259708	0.00172901037962,0.00361483219321,-0.00534384257283	-0.0107959065562	0.00139544117536,-0.000142651811113,-0.00125278936425
CUE4	KO2	-0.0163455098272	-0.00114558535393,0.00231513614593,-0.00116955079201	-0.0392220883217	-0.00209735192114,-0.000170523681988,0.00226787560313	0.00065863374869	-0.00844457452231,0.00178703043993,0.00665754408238	-0.0106473317525	0.000499403143386,0.000695108634563,-0.00119451177795
CUE4	recon1	-0.101151804715	0.000298024518433,0.0015989164077,-0.00189694092614	-0.0446732289993	0.000759107145276,0.00159504098103,-0.00235414812631	-0.081565430106	0.0030947686667,-0.00235294628403,-0.000741822382672	-0.115914231128	-0.00095541485693,0.00137532093199,-0.000419906075062
CUE4	recon2	-0.00588845173041	0.00166292921426,-0.0018291750064,0.000166245792142	-0.00483125365324	0.000786009513335,-0.00381504779868,0.00302903828534	-0.0251714759579	0.00279495846326,-0.0038528781201,0.00105791965684	-0.00503676297012	-0.000339396278234,0.00353402873332,-0.00319463245509
PEP1	KO1	-0.013937462246	-0.00150781404735,0.0027729715576,-0.00126515751025	-0.0418332465317	-0.0023736602244,-0.00106005645901,0.00343371668341	-0.0044028591093	0.00334593497675,0.00504500391088,-0.00839093888763	-0.0231745725202	0.00213980366768,-0.0026382727038,0.000498469036119
PEP1	recon1a	-0.0165893510377	-0.00185499171731,0.000647887648456,0.00120710406885	-0.02748990529	-0.000382049008234,-0.000254897219635,0.00063694622787	-0.0152465214625	0.000275014992619,0.000604049494972,-0.000879064487591	-0.0226972059653	-0.000370359694701,-0.00313374593248,0.00350410562718
STP3	KO1	0.0226944535958	-0.00110935547952,0.00878051632813,-0.0076711608486	0.010016353549	-0.00109293615099,0.00157759649059,-0.000484660339603	0.0308936294547	-0.014235557711,0.00164903977722,0.0125865179338	-0.0131292222751	0.00120662032645,-0.00350802725884,0.00230140693239
STP3	recon1b	-0.0214235865451	-0.00199035952627,0.00228944031866,-0.000299080792389	-0.011616358341	0.00458663767699,-0.00279736372302,-0.00178927395397	0.111544997804	-0.000876090176327,-0.00511227943796,0.00598836961429	-0.0109454275262	0.00304465764451,0.00155725083796,-0.00460190848247
STP3	recon2	-0.0250720449749	0.00133351108822,-0.000757110721729,-0.000576400366496	-0.0128747940218	0.00221577577974,-0.00597887470794,0.0037630989282	0.108832578022	-0.00373332036125,0.000417663061841,0.00331565729941	-0.0139632786172	0.00152676780521,0.000966374612027,-0.00249314241724
SIR2	KO1	-0.00840617716995	-0.000974180856794,0.0017868654616,-0.000812684604803	-0.038662713666	0.000480057589834,-0.00199461114694,0.00151455355711	0.0015397429484	-0.00793896400965,0.00381106050749,0.00412790350216	-0.0118031136186	0.00199389676613,-0.000897838902496,-0.00109605786363
SIR2	KO2	-0.00372296259224	0.00290356742043,-0.00505603519474,0.00215246777431	-0.0358538702628	0.00247810726294,-0.00105725459001,-0.00142085267292	-0.00139977531563	-0.00177195339526,-0.000127173215362,0.00189912661062	-0.00747241124134	-0.000698798433891,0.000620512193967,7.82862399231e-05
SIR2	recon1	-0.00567009211873	0.000310539768382,0.000471458531705,-0.000781998300087	-0.0046602517089	-0.00086733180651,0.00474502791877,-0.00387769611226	-0.025414567619	0.0015229011382,-0.00246064472833,0.000937743590123	-0.00816994832911	0.000104127068191,0.000425691257167,-0.000529818325358
SIR2	recon2	-0.00841641199695	0.00266988340849,-0.00365803996521,0.000988156556719	-0.00971854449276	-0.00446599482231,0.000942821273591,0.00352317354872	-0.0286268078771	-0.000147167056851,0.00510078396039,-0.00495361690354	-0.00533222772299	-0.00310646315181,0.000226870134771,0.00287959301704
ASG1	KO1	-0.0240149439605	0.00156697755422,0.00224267293046,-0.00380965048468	-0.0349066098988	-0.00269464662111,-0.00127733724153,0.00397198386263	-0.0141993926805	0.00352571718822,-0.000236085446407,-0.00328963174181	-0.0168089000865	-0.00124849661323,0.000168816677052,0.00107967993618
ASG1	KO2	-0.000815659213667	0.00126684110488,-0.00240272369489,0.00113588259002	-0.0390031188775	0.009407277959,-8.510692519e-06,-0.00939876726648	0.0868834921491	-0.00059193589346,0.00488560238464,-0.00429366649118	-0.00847195760437	0.00347404348651,-0.000879562323947,-0.00259448116256
ASG1	recon2	-0.00568784209903	0.00477700585222,-0.00460431213864,-0.000172693713575	-0.00501699876555	-0.00273797901492,0.000716921854258,0.00202105716066	0.0647435399271	0.00387501385692,-0.00203735675237,-0.00183765710455	-0.00102851005916	-0.000177914270511,0.0022569419995,-0.00207902772899
HAL5	KO1	-0.0620412755495	0.00452099491569,-0.00327429009475,-0.00124670482094	-0.0674039077932	-0.00140512653683,0.00355705027113,-0.0021519237343	-0.0632608530205	-0.00336317543505,0.000323125568211,0.00304004986684	-0.0259248891845	-0.00210257300301,0.00347883418324,-0.00137626118023
HAL5	recon1	-0.00782273635875	-9.55569416334e-05,-0.00211861608069,0.00221417302233	-0.00705217401904	-0.0039369320421,0.00858231671278,-0.00464538467068	-0.0296215051158	-0.00339761333505,0.00403639092454,-0.000638777589482	-0.00555870735215	0.00243226156468,-0.00209638226478,-0.000335879299897
